0,1,2,3,4
2.135358775,1688.819774,2405.434281,2130.094755,382.721661
2.139441974,1688.759638,2405.820111,2130.434418,382.7811828
2.128786226,1688.928601,2407.759534,2132.20866,383.1115394
2.112798436,1689.287038,2411.115385,2135.265357,383.6778262
2.100885508,1689.795322,2416.053874,2139.736933,384.5005254
2.10218364,1690.414913,2422.701076,2145.725071,385.5956612
2.118567109,1691.136355,2431.05947,2153.235394,386.9649811
2.14402157,1691.981787,2441.050104,2162.210594,388.6009789
2.172266765,1692.974369,2452.410079,2172.411599,390.4586963
2.200921683,1694.120303,2465.69291,2184.367276,392.6431152
2.232081708,1695.406322,2480.724299,2197.899204,395.1160158
2.268063257,1696.818438,2497.419501,2212.916052,397.8567689
2.310328612,1698.354379,2516.370855,2229.979766,400.9759416
2.359303685,1700.026094,2537.181412,2248.705555,404.3955416
2.415365954,1701.84631,2560.509256,2269.72012,408.2393588
2.479419426,1703.824832,2585.981157,2292.658612,412.4326923
2.553043438,1705.967721,2614.288713,2318.176786,417.1043592
2.637869825,1708.280836,2645.130339,2345.979774,422.1938262
2.735883242,1710.771895,2678.929986,2376.46901,427.7795577
2.849546798,1713.451146,2716.180923,2410.115636,433.9545979
2.981366389,1716.329052,2756.598002,2446.650229,440.6654697
3.13427506,1719.417976,2800.60638,2486.49059,447.99714
3.31181844,1722.732999,2848.379124,2529.823489,455.99084
3.517581979,1726.289578,2900.010531,2576.777775,464.6801968
3.754727152,1730.11246,2955.474734,2627.391178,474.0861207
4.02577224,1734.240488,3014.577338,2681.569518,484.2100491
4.333135356,1738.713704,3076.852705,2738.998765,495.0190206
4.67616625,1743.573531,3141.35802,2798.969765,506.4160698
5.049289146,1748.863611,3206.624659,2860.329822,518.2305602
5.446402638,1754.627878,3270.606014,2921.427394,530.2064435
5.855055464,1760.917231,3330.039552,2979.535879,541.8962199
6.252006563,1767.79441,3381.275576,3031.622165,552.809219
6.61293163,1775.323104,3418.848304,3072.914172,562.1122322
6.910265995,1783.548156,3437.036428,3098.386915,568.9246765
7.110614323,1792.480498,3427.760149,3100.689024,571.8918045
7.180055426,1802.127157,3383.404681,3072.720956,569.6676454
7.094145635,1812.454257,3295.753422,3006.476528,560.6491157
6.846508031,1823.349954,3158.35504,2895.262624,543.4021024
6.432901599,1834.693161,2966.14422,2733.369913,516.5980981
5.864060334,1846.294893,2718.693721,2519.089084,479.584301
5.180974444,1857.828976,2422.085433,2256.676061,432.8115515
4.428280949,1868.952815,2087.835929,1955.742946,377.8172139
3.650817676,1879.343175,1732.927247,1631.5176,317.3407199
2.893852685,1888.718301,1379.448902,1304.676065,255.3441601
2.202658277,1896.802292,1049.627895,996.6538804,196.1068161
1.610647806,1903.434587,761.4515213,725.377896,143.3627427
1.124277434,1908.716808,524.5102173,500.9613208,99.36072826
0.746257103,1912.786807,342.708647,327.9719033,65.22640571
0.472994681,1915.779872,212.4428267,203.5969267,40.56973844
0.285690774,1917.825106,124.4742449,119.4022421,23.82296919
0.163303101,1919.050634,68.22283528,65.47613758,13.07278087
0.087001171,1919.558479,34.66901695,33.27764998,6.645333468
0.043623316,1919.383748,16.21717371,15.56318151,3.107006625
0.020906675,1918.550968,6.388788403,6.128326435,1.222677991
0.008796639,1917.075315,0,0,0
0.00325342,1914.946501,0,0,0
0.001252337,1912.14995,0,0,0
0.000391027,1908.677252,0,0,0
6.95313384855092e-05,1904.537855,0,0,0
1.23535201670077e-05,1899.744423,0,0,0
1.96290232276731e-06,1894.309085,0,0,0
-5.58E-07,1888.24232,0,0,0
1.67860306684824e-07,1881.554292,0,0,0
5.40940574769564e-07,1874.255326,0,0,0
3.28983092267156e-07,1866.356281,0,0,0
-1.18E-08,1857.868123,0,0,0
