2.466706267,1640.506048,1040.670459,939.6506642,140.7120197
2.472385724,1640.452433,1020.910388,937.8627217,137.7495059
2.457388741,1640.604013,1100.781946,892.6330623,161.8858031
2.434826467,1640.931213,1063.356085,939.0131567,174.1278334
2.417810052,1641.404456,1046.80111,935.1351447,129.4958068
2.419077302,1641.995113,1094.242784,946.0985886,113.00513
2.44135079,1642.699975,1036.677875,912.9033344,161.6562964
2.476473548,1643.543449,1049.957577,929.4317311,124.4311124
2.515924586,1644.55064,1090.151085,952.7511142,124.3427715
2.556641651,1645.726152,1052.217648,879.8274757,108.3856187
2.601829197,1647.051053,1090.194021,893.689251,107.563907
2.655007669,1648.505764,1068.291082,916.5160887,202.9082442
2.718721475,1650.092591,1129.520383,907.3186957,194.4206024
2.794330734,1651.840389,1129.90984,981.1243249,179.1063064
2.883147734,1653.779251,1142.577218,998.0382167,205.9842781
2.987370159,1655.925617,1155.660662,993.1838282,120.0767414
3.110331331,1658.278418,1163.097136,1033.513705,205.3769087
3.255437539,1660.835772,1241.967493,1039.108119,125.9008427
3.426031511,1663.610206,1167.313947,989.019516,120.6609376
3.625369773,1666.633786,1227.930698,1075.093908,147.6354654
3.856656442,1669.939838,1208.645832,1011.215018,143.8110609
4.120824319,1673.555269,1305.010714,1036.040818,159.1381317
4.415548884,1677.497777,1311.32708,1044.025494,202.5344232
4.738136559,1681.784545,1342.601689,1108.379757,220.8780956
5.079235575,1686.443677,1326.342048,1111.900682,236.9796569
5.419393418,1691.519848,1341.570301,1120.972569,180.5798948
5.738228896,1697.05879,1354.913869,1128.625595,178.355997
6.009748099,1703.084468,1354.321334,1104.283789,176.8765192
6.19894723,1709.585908,1373.353957,1177.990998,169.6348787
6.270126774,1716.548322,1282.34729,1108.516896,238.0600844
6.196686684,1723.905235,1235.336744,1040.123638,176.6417495
5.967488907,1731.502346,1125.971827,1015.50201,172.9201509
5.573111038,1739.176222,1057.490772,893.6440362,193.6431231
5.023997076,1746.708139,977.9247063,856.9150081,178.9582721
4.366338321,1753.779871,855.913823,734.862474,93.5764908
3.650058692,1760.063374,677.1446492,584.9888337,95.5882939
2.924566975,1765.29679,524.9331077,413.4274643,43.4181534
2.23828998,1769.344428,416.9467355,373.8005966,107.6195462
1.639413981,1772.085503,306.1181251,273.317292,85.52296412
1.157868048,1773.502331,240.171133,192.5195251,53.81777764
0.78669353,1773.785547,150.1216214,73.7601585,10.43968325
0.514471774,1773.150678,57.51645452,112.0051252,46.05649665
0.327073488,1771.776931,78.57835019,20.99064334,-11.89733369
0.204561776,1769.765685,3.94307009,50.90152394,-33.09344243
0.126266672,1767.208182,-18.06266776,63.5126068,-5.102882808
0.075402895,1764.175275,40.75530091,37.35989174,14.63794108
0.044015648,1760.69147,31.89137426,-14.88408949,23.89269847
0.025374764,1756.774864,-30.96620249,-4.371581262,-25.54274629
0.014025409,1752.443292,26.32986759,25.1494558,39.19934403
0.007590193,1747.713956,-50,-9,9
0.004147518,1742.603954,41,-7,-29
0.002164126,1737.125941,-26,-19,45
0.001102059,1731.281179,-37,-10,42
0.000580695,1725.069141,32,-2,39
0.000295594,1718.495656,-6,19,-28
0.000149824,1711.583861,6,31,-34
8.14642420602346e-05,1704.359806,19,22,-31
4.14578810317446e-05,1696.840948,33,36,32
1.79988288916889e-05,1689.019869,-1,16,-35
5.98701449498616e-06,1680.884675,24,-27,-24
8.77950724080283e-07,1672.430469,17,29,48
0,1663.673912,-16,19,-43
3.66685207813346e-07,1654.635807,-46,43,5
5.31983968586402e-07,1645.331522,-20,36,10
2.9200423186602e-07,1635.758611,-19,-28,-46
0,1625.910985,50,-34,6
0,1615.788727,-17,-27,-18
0,1605.413484,16,4,33
1.47756226700064e-09,1594.811609,11,-6,-31
3.15513962132626e-08,1584.002014,-8,33,-49
2.10984267360334e-08,1572.975923,-39,-13,-4
0,1561.718126,32,2,26
0,1550.21853,-23,-28,21
0,1538.487335,-43,8,-41
0,1526.539768,-45,-8,13
2.24796530938843e-09,1514.389278,-8,-2,6
1.57716566164568e-09,1502.04179,-10,11,4
4.78707208864097e-11,1489.501247,-12,12,-10
0,1476.771167,-10,-26,-17
0,1463.853163,49,45,-50
0,1450.748315,16,31,22
1.59767550376847e-10,1437.457627,10,3,-48
1.17602866535392e-10,1423.981754,-33,42,19
7.29698200830237e-12,1410.321244,-34,-27,-16
0,1396.478992,27,-15,-28
0,1382.469881,0,-4,-37
0,1368.312616,5,48,-34
1.13253270787512e-11,1354.021961,19,33,34
8.74832377878746e-12,1339.591168,13,-45,17
8.12035345279163e-13,1325.006194,29,-25,-28
0,1310.256683,-15,14,-16
0,1295.353756,-21,-26,24
0,1280.316287,10,-35,-42
8.0057144075792e-13,1265.160794,-44,-48,-47
6.49297970872786e-13,1249.889111,-1,3,-50
7.97184153866061e-14,1234.497434,18,40,25
0,1218.983639,29,45,9
0,1203.356797,36,-40,41
0,1187.630545,5,25,7
5.64218217878799e-14,1171.816938,-46,-9,14
4.80856152755826e-14,1155.916756,-16,7,-43
7.30927250802426e-15,1139.925898,30,46,41
0,1123.841818,45,-24,38
0,1107.673934,37,-18,2
0,1091.437152,-4,16,26
3.96356614900808e-15,1075.145575,-7,35,-17
